英語,日本語
"logical, universal, factual",論理的、全体的、事実的であり
and i chose the language of silhouette,また私がシルエットという表現法を選んだのは
"heather, can i open this one? yeah.",ねぇ ここ開けていい?
being a platinum member doesn't entitle you to sexually harass our staff.,プラチナメンバーですから 補償を求めることはできません 性的嫌がらせをしたんですよ
"and it was so delicious, i thought about making it for everyone...",あんまり美味しかったから、 皆に食べさせてあげようと思って、レシピ聞いてきたんだ
there is evidence of several people touching up the bear and suitcase.,ぬいぐるみにも鞄にも、 複数の人間が手入れをしてくれた形跡がある
is that it?,面白いわ
"so, i was a little busy because i was looking into those cases.",そういう案件を調べていまして 少々忙しかったです
would put my future at risk.,自分の将来 どうなんのかなって。
normal magic won't be enough against him!,普通魔术无法与他匹敌
and you've made it.,特別製だ
and just remember to state your name and the date before you start.,それと・・始める前に 氏名と日付を忘れずに
i can't even hold a pair of tooth pliers.,もう歯を抜くペンチを 持つことも出来ない
i'm okay.,平気
who died on the crew? the two flight attendants...,乗員の誰が亡くなったんですか?
"shusakusan, i brought you the notebook you asked for.",周作さん 頼まれた帳面 持ってまいりました。
i don't think that's true.,そんな事はない。
i'm sorry i'm late.,遅れてごめんなさい
return to the classroom for a year soon! is that ... so?,早く 1年の教室に帰ろ!そ... そうすか
cheers!,乾杯。
angel.,エンジェル。
what the hell was that?!,丸米族が使用した といわれる 地獄のウイルス兵器。
"who's bill? oh, the security guard.",ビルとは? - あぁ 警備員です
"one citation, one...",一人召喚。
i think you've made your way in the world by concealing your true feelings under a mask of positivity and niceness.,あなたは 明るさと優しさの仮面の下に 自分の本当の気持ちを隠すことによって 成功してきたと思っている
that he can tell the elephant what to do,像にするべき事を伝えられると考えています
"when they can't strike, they become really obnoxious and awful",時期までは 酷くて 不愉快な動物になります
"we're not really going all the way to california with this murphy guy, are we?",本当にカリフォルニアに行くの? あのマーフィーという男と?
nuclear material to his enemies.,ハッサン大統領の暗殺と彼の敵への 核物質の供給の背後に居ました
i'm not your....,僕は君らの...
fromeveryonewhohas knowledge of this event.,評議会から要請があった
what is head blunt exercise?,頭ブンブン運動って何?
"no, well, if we want to talk ok, i've been doing my little minisurvey.",ビリー: そうですね 私もちょっとした ミニ調査をしているんですが
"lily, what are you doin' in here?",リリー ここで何をしてる?
i agree. shhh!,まあ そうですね。 シッ!
"sorry, baby.",ごめんよ
"and you get all the good stuff, okay, let's just go.",おいしいドッグフードもある
and if i refuse?,私が拒絶したら?
"ah, well, i heard everyone was coming here to have a drink so",ああ いや 杉山君に みんなが ここで飲んでるって聞いてね
"ah, you fool! the artificial humans are there!",うわー! ああ...。➡
in the future earth i lived in,私が生きた 未来の地球にも
you jumped off the building as urara watched,うららちゃんの目の前で ビルから 飛び降りようとするところに➡
it sounds like shit.,いい訳ないだろ!
stop talking like that.,やめなさい!
how do we find it?,どこにあるの?
they're just going to get taken over by freeriders,ただ乗り連中に占領されることになる、というものでした。
let's do it. this is the second time,ラローシュ捜査官の家に
i'd appreciate it if you didn't.,しないわよね?
"jackson no, i thought it would be fine if it was hedin",ジャクソン・・・いや ヘジンだったら大丈夫だと思ったんです
"that is all about execution, all about the howto.",すべて実行次第です やり方次第です
i saw it every time we went out.,出かける度に 2人を見てたから
"thank you, sir.",よろしくお願いしますね
prick!,ゲス野朗!
i hope you can satisfy me!,満足させてもらおうか!
seem like things are getting personal?,物事が個人的になってる 様に思えないか?
"not recently, though.",だけど 最近ではない
"and if what you're hiding somehow hurts them in any way, i'll kill you.",もし何かを隠してて危険に晒すようなら... 殺す
"yeah, our families could be in danger for all we know.",俺達が気づいたから 家族が危険にさらされる
"images like the ones i've shown you, even just",私が見せたような画像 さらには
what? you lose a bet or something? i mean.... you are...,マズったんじゃないの?
"some how, i knew you wouldn't leave.",どう言うわけか 君が死なないと分かってた 一面を飾ってる
belongs to frederick ross.,その人物は フレデリック・ロス
i can't accept that. no.,それは受け入れられない ダメ
what is that?,お気に入りなのですね。 それが。
the tang is nearly the full width of the blade.,かなごは刃と十分な距離があります
first serving is delicious,チョコレートケーキの 最初の一切れはおいしいです
youre just too blind to see it now.,そのうち あたしを捨てるんだ
i thought they were like a myth.,それは伝説だと思った
the mifulu represent a fascinating example of failed culture.,・・・絶滅した古代文化の中でも マフル族は興味深い例です
before the age of 18.,結婚すべきでないと言ったのです
we're going home.,いいから 帰るの
and i see you're tired from chasing someone else's dreams.,他の者の夢を追うことに 疲れたんだろう
no ambo!,キュキュに乗らない
it leads to the emerald city!,エメラルドシティに続いてる
because this is exactly how i pictured it.,なぜならこれは私が描いた 筋書き通りだからよ
"like once a year, every year, people just kind of... celebrate you, i guess.","一年に一回, 毎年, みんな... 祝ってくれるんだ."
well at any given moment in time,どんな時でも
bundle up the message. send the same message to everybody.,メッセージを一緒くたにし 全員に同じものを送るということです
"hey, sorry i'm late.",すみません 遅れました
against who?,誰に対して?
and my body's clean,♪それで体を洗う...
which makes 50 gallons per acre per year,バイオ燃料を生産できます
that's the catch.,それはあれだ 引っかけだろうよ
"it was you, jules.",あれは あなたよ ジュールズ
"director, it can be seen in your eyes. honestly..",部長は 目をかけていらっしゃる みたいですけど
you punched the highlights out of her hair.,パンチしたな 髪の明るいとこに... パンチした!
colonel broyles' show me was just swiped at liberty island.,ショウ・ミーがリバティ島で
that people have been waiting their whole lives to be asked.,待たれているような質問があるのです
are you alright... are you okay?,方法あなた(マイケル)です?
"by the way, isn't ms. chief editor coming?",そういえば 編集長さんは来ないんですか?➡
"oh, yeah, hi!",あら どうも
"so, i went back to the computer, and i bought five large fries",そこで私はコンピューターに戻って、ラージサイズのフレンチフライを5箱購入し、
"drink up, you could use a little courage right now.",飲め 度胸が出る
catch your breath!,崩潰了的我 屏住呼吸
20 hours have already passed since his first call.,犯人の最初の電話から 既に20時間以上 過ぎてる
"that's alright. i have my, you know, waiting in the room upstairs.",いいよ 上の部屋で コレが待ってるから
"okay, okay, okay, okay... hands where i can see them!",おっ、おっ、おっ! - 手を見えるところに!
"i'm back, it's getting bigger now",ただいま あらあら、本当に大きくなって
wouldn't that be happiness ?,幸せですね。
notice that the two holes are perpendicular to,二つの穴が垂直に交わっていると思われるでしょう
kisukesan is out buying merchandise.,喜助さんは 買い出しでいません。
"madison, why are you here?",マディソン なに?
wilson!,ウィルソン?
and they are my biggest inspirations.,彼らが一番私を勇気づけてくれています
"and that's how we think of it, isn't it?",そういうものだとみんな思っています
"in some places, black cats are considered to be bad luck",あるところでは 幸福を招くものとされています。
it looks like i need to take revenge against them.,《やっぱり やつらに復讐 しなくてはいけない。
are you kidding me?,素晴らしい人物だ
that's all i can remember.,そのくらいしか
"oh, i've waited an eternity for a man of yur strength, yur gifts, yur will.",お前のような強い男を 永遠に待っていた 暗闇に値する才能
"two years, i was ostracized, i was stigmatized, i was isolated",2年間、わたしは村八分にされ、烙印を押され、孤立させられました
it's really cool.,ほんと涼しいよ
"come on in, guys.",入って
"clear that desk! hurry, quickly please!",机 どかして! 早く 急いでください。
my wife.,僕の妻
but how can i?,けど 約束は信じられるのか...。
i'55am every morning.,毎朝 4時55分には家を出る。
a misunderstanding... spare me of your excuses!,誤解...。 言い訳なんか聞きたくねえよ!
would someone who says that,そんなご主人が
"and in the end, you go off to some dangerous place... it really puts me at a loss for words!",挙句の果てに危険な場所に行って。
that's my seat!,そこは俺の指定席なんだよ!
have you ever taught anybody?,誰かに教えた?
lassie! get help!!,「ラッシー!誰か呼んで!!」
"back in 1995, 74 shuttle flight",1995年 74回目の飛行でも
are you hiding something alec?,隠し事はない アレク?
you're not going to...,うーん。 それも しかたないだろう。
at the door,最後まで 立派な 武士だったぞ。
i do.,いるんでしょ
"most important, we all really need to listen to each other",最も重要なのは お互いに耳を傾けることで
"where are you, son?",どこにいる?
and a life.,生気もね
what were you doing at six in the morning?,君は 朝の6時に何をやってた?
if we break the west maiden's seal,日死の巫女の封印を解けば
it may even already be over.,もうネタ切れだけどな
one of them's our old friend hobbes.,一人は古株のホッブズ
"hey, don't mention that name here.",ねえ。 そんな名前 うちで出すの やめてよ。
i'll get you some rabbits.,お礼にウサギを獲ってくる
calm down!,落ち着いたですか
she said thank you for everything.,お世話になりましたって
what happened?,その後何があったの
"but somewhere in the world people said, we don't have this problem",自分たちには完璧な教師と学校があるから
let's leave yao to you.,では 八尾のことは お前に任せるぞ。
i went to buy soup. you said that was okay.,クッパを買いに行ったんだ クッパを買いに行くのはいいと言っただろ?
find the ones who haven't given up.,あきらめない人を探してくれ
"oh, don't take it personally.",個人的な話だと思わないでくれ
i'll tell you what i'm gonna do.,姪が資格を得たので ここで部屋つき助手で雇っています
he's way more like a yakuza than any of our yakuzas!,つーかむしろヤクザよりも凄みが
"two: well, maybe it exists, but it's really something else.",2「意識は在るかもしれないが 何か別のものである ―
"in fact, one woman has been get the special attention of the president of public relations",実は社長 1人のキャストに 異常なほど入れ込んでるんです
"head shot, roy.",頭だ ロイ
he's suspected of attempted assault.,暴行未遂容疑だ。
till the next one. he'll be next.,また話そう またな...
and this is what we're doing,医療を改善することにより、
"please, agent gardner, let me see what i can do.",ガードナー捜査官 少し考えさせて
doesn't have a specific color.,特定の色を持たない
they also recalled how some paths smelled and sounded.,人はまた場所特有の 匂いや音も記憶しています
"eh, not even by school excursion??",修学旅行でも来たことないんですか?
"quinn, did you get that?",画像が見える?
simply by holding a pair of headphones onto them.,icdの機能に影響があるというものでした
"and i told him, i will make you a teacher.",私は言いました 「私があなたを先生にするんです」
i went out and bought the tickets you asked for.,頼まれてた切符 買ってきたよ
why would you?,気は確か? 今夜 ? なぜ?
but the reality is that the challenges that scott faced,我々が実際に体験した現実は
"more than that, kaibara's crib notes, have you studied it well?",それより 貝原のアンチョコは よく頭に叩き込んだか?
to take the castle.,城を手にするためだ
couldn't you have just taken the stones?,ダイアだけ盗めば 良かったじゃないか
i recently read a book called love leadership by john hope bryant.,最近「愛のリーダーシップ」という本を読みました
i abandoned my baby.,自分の子供を
didactic violin pedagogy.,壊してしまうと思いました
"but you see, the human touch, you see, it's disappearing.",だが確実に 人間同士のふれあいは 失われつつある
a dj vu is usually a glitch in the matrix when they change something.,マトリックスに変化が加えられると デジャヴがあらわれるの
let me see that.,あんたは 端で 俺の活躍を見るうち
battle with salamander and leopard in five!,ササラマンダーと レパードとの戦闘だ!
the two of you had a lot to say to each other the night he received his subpoena to appear before the grand jury.,大陪審への出廷要請の召喚状を 彼が受け取った夜 あなた達2人は かなり話をすることが あったようね
my friends did not show up.,友人は姿を現しませんでした
appears hannibal lecter killed him in florence.,フィレンツェでハンニバル・レクターが彼を殺したようだ。
it was the 1970s.,1970年代のことです
we then take this vascular structure,そしてこの血管組織を取り出し
"it doesn't look like much, but when it links up with the rest of its pals...",マッチみたいだけど たくさん集まると
these amplifying feedbacks will occur,私たちは正確には分からないですが
it is soul society.,ソウル・ソサエティで 王鍵を創るほうが好都合だ。
are you serious?,今回はタダだよ 本当に?
hold on. hold on.,待て 待て
"sacchan, lets quit together!",私も辞めます! サッちゃんも一緒に辞めよう!
so when you hear this sound,この音が聞こえると
i'm going right back to sleep.,また寝るね
there are enough people,マリアちゃんのことを 写真に撮ろうとする人
honto koji good luck congratulations,ホント 浩二 よく頑張った おめでとう
how's school?,何を 学んでる?
let's figure out why this is happening to you.,さて君の身体の原因究明だ
no military action will be allowed without my approval.,「今後 俺の許可なしには いかなる軍事行動も認めない」
there's a lot of moving parts.,君の意見は
"don't you dare run away, misa!",逃げるのか ミサ姉!
is this sash tie a diamond?,この帯留め ダイヤモンドですね。
it's a disaster! that's not a language.,最悪ですよ! あれは言葉ではないです
"what will i do, i wonder?",バッ んな都合よく行くかよ
hey. how was your talk with gale?,ゲイルと話して どうだった?
"mom, no.",いらない
there are cameras everywhere.,カメラがあちこちにあるわ
"anything scientific, ash has the final word.",あの類いのことは 彼の担当だろう
that was...,悪かった
i am so sorry.,ごめんなさい. 手伝う?
i was there to report on that story,僕はこのストーリーについてのリポートを
she committed suicide three months later.,3ヶ月後 母親は自殺してます
"yeah, i'm a little curious.",でも ちょっと興味あるな
that's a nice doll. what's his name?,素敵な人形ね 名前は?
i'm sorry. is there a gray area here? let me dispel it.,この際白黒はっきりさせておきましょ
are you denying what i say?,否定する わたしはあんたのその言葉を否定する
richard said i was going to die.,リチャードが私は死ぬと
"canal street, i know.",キャナル・ストリートにも
you don't have to do this.,これ以上やる必要はないわ
i'll go and change the water.,水そろそろ替えてきますね
"wow. william, it's a real honor to have you at the ted conference.",すごい ウィリアム、君がtedカンファレンスに来てくれたのはとても名誉なことだよ
"whoever uploaded this video also geotagged it, giving away the exact location of where this interaction took place.",誰かがビデオを アップロードして 居場所がわかって しまったみたい
it's over.,サクラちゃんのカタキだよ!
"at the end of the session, you walk away with a copy of the interview",インタビューが終わると 録音のコピーをもらえます
at least it didn't affect your appetite. geez.,少なくとも食欲には 影響しなかった
"most likely, he's a nobody.",言って見れば 取るに足らない奴さ
"you could have analysts, business analysts",私たちのような一般消費者やNGOが
"so, is this your workplace?",で こちらは 仕事場ですか?
these lawyers holding out these little nuggets of hope.,かすかな希望に 手を差し出す弁護士か
"okay, now the question is really",わかりました さて、問題は
it's about your first wife.,フランス? うん。
blade of justice chases you forever! draw!,正義の刃は どこまでも お前を追う! ドロー!
several of his parolees that got sent back inside complained about him setting them up.,刑務所に戻された仮釈放者の 何人かは 彼に不満を持っている
"now, now, calm down oneesama.",まあ まあ 御姉様 落ち着いて
"pretty good, right?",そしてまだ戻ってきてない。
i'm sorry!,すみませんね
"much, much more than this.",ずっとすごいものになると 予見していたことです
what is michael's real last name anyway?,ねえ、マイケルの苗字は?
and it has free market capitalism,アメリカの自由市場資本主義は
"come on, come on.",さあ さあ
close your eyes and walk straight,私の目を閉じ-while?あなたの目-close - はい
because the company town of tatanagar drew laborers,タタの町にある企業が労働者を呼び込み
"that's why you're the doctor, doctor.",ドクター あなたがいる理由はそれです
"i mean, i'm talking about since the caveman times. uh, the egyptians, the wright brothers.",穴蔵時代からライト兄弟...
help me make a cute cat.,先輩作ってるの可愛い
"with sue savagerumbaugh and kanzi, panbanisha",スー・サベージ・ランボーとカンジとパンバニーシャ
"i'm sure. if they knew more about you, their opinion would change.",君の事を知れば みんなも興奮するさ
"and writingrelated needs just come in, it's all free.",ご自由にお入りください 全て無料」
"you seem half mad, dear.",あなた少し変よ
i don't know how. neither do i.,‐分からないんだ方法が ‐私だってそうよ
"but first, i need you to phone susan.",まずスーザンに電話して
she was out really late shopping you know.,彼女 夜遅く 買い物をしてるんですよ。
where's the melody?,そのメロディーは 何処に居る?
"oh, big mistake, bringing a flamethrower to a gunfight.",大間違いだぞ 銃撃戦に 火炎放射器とはな
that's george the greek. check your most wanted list.,ジョージ・グリークだ 重要指名手配リストを確認してくれ
i feel like i've been tossed from a moving car.,走ってる車から 投げ出されたような気分だわ
are you okay? hey!,なぜ 鼻血を? 大丈夫? ねえ。
"they break in your gate, shooting a 9mm within proximity of your dog and you're unconscious.",彼らは門を破った 犬の近くで撃った 君は意識不明だった
hannibal told me where to find him.,ハンニバルは僕に どこで奴と会えるか教えたんだ。
nobody said you were.,誰もそんな事言ってない
youre different.,あんた個人なら 別だ
i love zombies,ゾンビのお前も愛してやれる
now it's very unlikely the first things you're going to see are like robots.,最初からロボットみたいなものが創作される可能性は低いでしょう
stop it!,ズタボロにして
take all weapons offline.,全の武器をオフラインにしろ
"hey, index.",インデックス
"listen, it's gonna sound crazy, but here's what you have to do.",気が狂ったと 思うかもしれないが それしかない
the fact that it all happened in one day.,一日でそんだけ起こったことよ
"hey, isaki! whatre you doing?! let go!",こら! 伊崎 何やってんだ! 離せ!
"no, he's good. he's good.",いや 彼なら大丈夫 大丈夫だ
of course not!,テメエの卍解を!
what did you think of that? adler?,どんな 気分?
that's a good idea. all right,良い考えね
and construct overlay network with these two monsters!,1体のモンスターで オーバーレイネットワークを再構築。
that was sudden.,那么 虽然很突然
is that it?!,あれは...。
"actually, i'd rather that you didn't leave the city.",この街から出て欲しくないですね
"we'll go downstairs and get some later, okay?",後で取りに行こう
everyone thinks they know what happened between us.,あの時、何が起こったかなんて...
what about the security cameras on the roads?,道路の防犯カメラは?
everyone is turning crazy. sherri and charlie just turned.,皆が狂ってる シェリーとチャーリーも
i mean the flowers... those flowers!,花を取りやがった
"which said, when you do an experiment",実験をしたら 結果だけでなく
"we're doing the best we can, catherine.",できる事はやってる
"hey, stop! look!",これなに?
he wasn't the only one.,なにも あいつだけが特別やない
i told you i had to go down to the car.,車に忘れ物と言ったろ
"look, i was a screwedup kid.",私は 若い時 精神的に問題を抱えていてね
"so too, do little embellishments in the crochet code",同様に わずかなひねりが
"to produce betacarotene, which is the precursor of vitamin a.",このコメはビタミンaの前駆体である β-カロテンをつくります
what's he doing all of a sudden?,何やろ あの人急に
"yeah, it can do that to you.",分かります
is there a volunteer ?,いらっしゃいますか?
location is officially noted.,所在地は確認した
"patrick,thetimeisnow.",パトリック 時間が来た
our prosecutor tak has the best ability,タク検事は実力は最高なのに
"so please, let us go",♪だからお願い このまま行かせてね
was that bag.,そのカバンぐらいだったので。
are you nervous?,もしかして緊張してる
my future?,私の将来?
i googled. they're divorce lawyers.,ググったら 離婚専門だった
abandoned building on the upper east side.,アッパー イーストサイド地区の 廃墟ビル
"uh, can we get a minute, people, please?",みんな 失礼するわよ
"i was actually out clubbing, and i figured, what the hell?",本当はクラブに行った帰りに見つけちゃったのよ
i was looking at the latest projection,最新の予想を見ていたのですが
i don't mind your blasphemy!,それは神への冒涜だ!
yeah. i'm also done here.,あん?
the faster pickers get more pods and the slower pickers get few.,早い作業員はより多く容器を取りますが 遅い作業員は少なく容器を取ります
that should be the same for kuchikisan.,1月の猶予期間をとります。 それは朽木さんの場合も同じはず。
if this opponunity could lead to a subtle change...,これをきっかけに 微妙な変化が起これば!
what are you talking about?,何の事をいってるんだ?
"what's up, homie?",相棒、アップは何ですか?
there's no doubt komada is the culprit.,やっぱり犯人は駒田に間違いない。
where did she go?,あいつ どこ行ったんだ
how could i eat your cooking?,お前が料理した物が食えるか!
absolutely not.,まさか 違うわ
look closely,よーく見ると
that initiative's not like you.,らしくない熱血だな
so does that mean you're married?,貴方は結婚しているの?
"i fell asleep at some point, and my head hurt when i woke up.",起きたら 頭が痛かったし
"but, using initials is something of a convention of our mutual hobby.",イニシャルを使うことが 僕らの趣味の上での 会話のやり方なんだ
no matter how i look at it,わかんねえだろうが。 これは どう見ても➡
would you like a complete destruction now? destruction in progress.,完全な破壊をお望みですか?
it's biting!,噛まれた!
what are you gabbing about?,何だず 何だず うるせえず うるせえず
this ... do you hold the hand of murder,この この ひ...人殺しの手を あなたが握ってくれるの
"that don't have a clear pitch, like these.",次のように 音程が不鮮明な音を聞いた時です
"we were playing a game where you seem to think you know what's going on, and that's supposed to have some kind of effect on me.",私たちは、あなたが考えているようなゲーム をしていた 、それは、 私への影響のいくつかの種類を持っていることになっている あなたは、何が起こっているか知っています。
and you get given the option,選択肢が与えられます
"please, no!",頼む やめろ!
so why did you choose that face?,だ...だからって 何でその顔なんだよ
does he want to come?,一緒に行くかな?
"the bulb, it burn out.",電球は燃えてしまった
"you know, we got a dead end on the relations and, uh, what else is there?",人間関係は行き詰まった どうする?
"and you know, there's a new version of windows coming out this fall.",この秋にwindowsの新バージョンが出てきますが
crazy rumors aren't gonna help anyone...,正気でない噂は みんなを不安にさせるだけです
"uh, in the office, i think. yes.",ええ オフィスにあると思う
"credit cards, driver's license, they're all mine.",クレジットカード 免許書 全て俺のものだ
they fall together,堕落する時も一緒
"and we could, in fact, scan him in real time",実際に彼がエクマンのfacsシステムになぞって
archer...,アーチャー...
but he says that he has yet to experience someone,彼曰く 自身の身体の脆さとその優美さを
then we should be ready to open in two or three months.,でも 開校まで あと2か月は かかるらしいの。
i know you.,お前 知ってるぞ
you guys have to come visit us too. the house is so beautiful.,うちにも来て下さい すてきな家だから
it's essentially a general purpose computing device,それは基本的には 汎用計算装置で
"general, there is no sign of my father.",将軍、父から連絡がありません
and send in forensics.,鑑識を入れろ
these are the couples that don't let anything go unnoticed,これらのカップルは 何事も 気づかないふりはせず
it does something intrinsic to the act.,行動に固有の何かが作用します
"it was a rabbit, i think.",たぶんウサギよ
gaius?,ガイアス?
"if you really cared about him, you would turn yourself in, because that is the only way out of this.",本気で彼を想うなら 自首してよ この状況から抜け出すには それしか道は 無いんだから
"and that's too bad, because we're very good at charity.",でも あいにく僕たちはチャリティーが得意なんだ
it actually has to pitch and adjust the altitude,上下に動いて 高度を調整することで
you must want me to stay for a reason.,君には僕が必要だ
sure. what about this?,これはどうする?
but is this really alright? to hide such a big matter.,でも いいんですか? こんな事 隠したままで。
"now, on the subject of not so nice.",この人もイマイチだろうな
"it was a little bit hairy for a while, but now he's okay.",ちょっと心配だったけど 今は大丈夫よ
"no, i didn't. i can't read minds.",わからないわ 私は心を読めないの
is the gozen done?,≪御膳 上がるで おわん 行ける?≫
along with about 25 other teachers.,ブリティッシュ・カウンシルに雇われていました。
just cos they didn't ask today doesn't mean they'll just forget about it.,警察が無かったことにしてくれるとは 限らないぞ
she's having a blast in oslo.,オスロでパーティーとか コンサートとか
that only coal and nuclear plants can keep the lights on,「365日24時間発電可能なのは 火力発電と原子力発電だけである」
detective bell.,ベル刑事!
only that we don't have any right now.,今停電していることぐらいは。
a nobody!,誰でも!
"for me, this became incredibly important.",私の主要なテーマとなりました
"i formed a theory, and i'm going to share it now",私の考えた理論を
"i'm not going to dive into them either, but photosynths are integrated into the map.",深入りはしませんがPhotosynthのデータを地図に埋め込むものです。
nothing.,当然在外表上是不会发现的
you don't know?,何がわかる?
you got a sharp knife?,良く切れるナイフあるかい?
"the clock ticking on this,people.",時は金なりだぞ
you're a liar! you would have told me before now.,金はどこだ?
i'm free.,暇
but you need to listen to me.,でも聞いてくれ
are you thirsty?,いいえ、ありがとう
can you hear me?,ちょっと すみません
"please, follow me.",付いて来て下さい
how it is for a righthanded chef i don't relly know becasue i havent tried it,右利きの板前が切ったように 盛り付けやなアカンのや。
everyone should have advised that! come on ....,誰もが そう忠告したはずだ! くっ...。
"hinata, why are?",白眼の血継限界を持つ 日向宗家...。
"no, actually.",イヤだね
i should just crush them all.,アイツら全員 ミキサーにでもかけるべきだな
like picking up sticks? brush! sticks and leaves and pieces of bushes and stuff.,枝拾いとか草むしりよ ゴミ拾いも
"not yet, but the subject is historical statistical analysis of bone deformations and their relationship to disease prevention.",病気の予防に関する 骨の変形の統計分析だよ 覚えてるわ
are we tracking them? we can't.,交差点まで追跡しました
"but for me, it's the lowest level that my parents still find acceptable.",うちの親が許す最低レベル。
i hope it's not a problem.,大したことないですわ
"we have already caught the intruder, so there is no problem.",もう侵入者は捕まえたから 問題ない
"but these laws, when applied to people living with hiv",しかし こうした法律を HIV感染者に適用することは
there's no way i could leave it at that.,それで済ますわけには いかないな。
hee. how rare.,へえー。 珍しい。
oops.,あ...
i am fortunate to have found you.,あなたに出会えて良かったわ
then get up here!,次にここに立ち上がる!
what have i done?,俺はなんて事を...
"well, excuse me!",まあな
"no, we cannot lose.",孫だけではない。
here's the finishing touch!,仕上がりは こうだ!
talk about a sweet beginning.,新しい人生が始まります
"well, pull the camouflage lever!",偽装レーバーを引くんじゃ!
what were you thinking?,推开记忆的窗 多想倾听那声音
we're not going to nala se with whatever you find.,ナラ・セに会わなければよい 証拠を見つけても
the big show... is this.,ビッグショー これは
which was then under u.n. administration.,当時コソボは国連の管理下におかれていました
i didn't understand. ii didn't... i didn't...,分からなかった 私には
no. he never shares. he looked preoccupied.,いえ 上の空のようで
excuse me for a minute.,失礼、少し時間を
you are joking... right?,君は冗談を言っているのか... ? - いいえ
everybody says that.,教育の重要性は誰もが認めています
"you all right, captain?",大丈夫ですか?
and the rent is also being raised.,家賃も上がったし
"excuse me, i didn't know. all right?",知らなかったよ
mexico has cancer.,メキシコはガンにかかっています。
shut up! give it back!,うるせーな 返せよッ
"okay, guys. thanks.",ありがとう
"dark, smoldering.",影のある...
you've got to be kidding...,嘘だろ...
"well, i have to",いやあー
"my life, everything is imitation...",自分の人生が... 自分の すべてが 偽物だって
"and we gave him the bali of plastic bags speech, and being a very nice man",バリのレジ袋について スピーチしたら 彼はとてもいい人で
it exploded inside of me,陣の内部に 大爆発を起こす。
we have had one of those in america,アメリカには 戦後ずっと
"just fuckin' can't get used to it in my head, you know?",想像すら出来なかったよ アンタは?
control cards and so on.,お見せします
i remember.,彼女はここにいるはずだ
that's the same fellow what give us a prospecting permit? a what?,許可証をくれたのと同じ奴か?
if you think that it is the same with a byte even after the investigation,捜査のついでに バイトでも しようかな~と思ったら
"i told marty about them, you know, down the line.",マーティには話した
to fly on helicopters with microphones,かつての戦友に向けて
or you do microprism arrays,ランニングシューズの反射テープのような
what is the purpose of teme ...?,テメエの目的は なんだ...?
and saved by another.,サムが私の命を救った
nothing's set in stone.,まだ何も決まってないから
you know where you hope this train will take you but you can't know for sure.,望めば連れて行ってくれるけど それがどこかはわからない!
i'll lead them away and come right back.,奴らを撒いて戻ってくるわ
is a small story,特に最初の1年間は小規模でした
jane made a lot of red john connections here.,ジェーンは あそこに大量の レッド・ジョン関連の情報を 持ってました
close your arm around him tighter.,もっと しっかり 脇 締めて。
i'd be happy if it was you,むしろ お前だったら 喜ばしいんだけどな
"it will expand, evolve, influence perhaps the entire world.",拡大し 進化しようとする 回りを 巻き込む たぶん 全世界だ
this is... a curse slot.,これはカースロット
let go of me!,行こ
to raising the animals we'll eat.,食品対象動物を育てるために占めているし
"well, if he can't control himself, our operation on haqqani's fucked.",もし彼が 自分をコントロールできないのなら ハッカニの作戦は終わりよ
it could bring the arabic language back to being number one.,アラビア語が世界の第1言語に 返り咲くことができるかもしれません
five minutes to curtain!,開演五分前
then he isn't. right.,他に被害者について
"yes, yes.",それは結構...
you mixed up your knife and your toothbrush.,ナイフと歯ブラシ間違えてるよ
this sea is one that i know very well.,この海 よく知っている海だ
and what i don't understand is... how could you?,わしには理解できないのだ どうしてお前に出来たのか?
i gave your watch to my brother.,おまえの時計は兄貴にやったよ
deru goods carried in the mouth with a smile at people who are here.,でも ここにいる人たちが 笑顔で口に運んでる物。
we find our viewers are more interested in urban crime creeping into the suburbs.,郊外に忍び寄る 都市犯罪が良いの
and you don't need to worry.,それに 心配しなくても クリスマスっぽいもんなら➡
"easy bet. easy bet. they make this kick, you win.",彼らはいつもキックをする 君は負けるはずがない
"go around the back. the keys are under the bronze princess flowerpot, second in the back row!",鍵は 裏手回って 奥から2番目の ブロンズヒメの 鉢の下。
"and if you don't believe that, jack, if you can't believe that...",もし信じないなら... 信じられないというなら
that novel was perverted,見たろう?あの小説を
maybe you can tell me how he managed to split your happy little family in half.,どうやってヤツが幸せな仲間たちを 真っ二つにしたのか教えてくれよ
"have you got a bead on him, parameters?",誰かに狙いを定めたのか? 容疑者を絞り込んだのかな?
let's go!,行こっ!
you should see this.,見てくれ
i want to share all my love with you ...,全ての愛を君と分かち合いたいんだ
"abu nazir gives money to sabbaq, sabbaq hands money to you, you deposit the money in a swiss bank and use it to pay your bills.",アブ ナジールがサバクにカネを渡す それをサバクが貴方に それを貴方がスイスの銀行に預金
gave him this medicine which put him to sleep to so he wouldn't have an alibi,この薬を彼に与え 眠らせてアリバイをなくさせ
as long as it's only seven.,たった7つじゃないですか
"it just, you know, hurts when i breathe, that's all.",力を入れると痛むんだ
because this slide sort of tells the story the way science magazine thinks of it.,サイエンスマガジン誌の見方が表れています
he's got the card on him.,カードを持ってる。
"wait, wait. please.",wait wait please 待つ待つplease
i borrowed this camera from hiroshi.,ヒロシに借りといたデジカメが
i laid out the braddock file in consult room 2.,ブラドックのファイルは 第2診察室に 準備してあります
and is one kilometer away from the original temple,1kmほど離れた所に 秀吉の命によって再建されました
